Date,Open,High,Low,Close,Volume,Turnover (Rs. Cr)
03-Jan-2000,1482.15,1592.9,1482.15,1592.2,25358322,884.15
04-Jan-2000,1594.4,1641.95,1594.4,1638.7,38787872,1973.69
05-Jan-2000,1634.55,1635.5,1555.05,1595.8,62153431,3084.79
06-Jan-2000,1595.8,1639,1595.8,1617.6,51272875,2531.18
07-Jan-2000,1616.6,1628.25,1597.2,1613.3,54315945,1914.63
10-Jan-2000,1615.65,1662.1,1614.95,1632.95,45013949,2375.35
11-Jan-2000,1633.25,1639.9,1548.25,1572.5,49120254,2596.95
12-Jan-2000,1572.3,1631.55,1571.7,1624.8,38364961,1895
13-Jan-2000,1627.85,1671.15,1613.65,1621.4,44738447,2237.61
14-Jan-2000,1622.15,1627.4,1591.4,1622.75,43292009,1979.98
17-Jan-2000,1623.5,1668.45,1604.65,1611.6,42683260,2161.59
18-Jan-2000,1611.65,1615.15,1587.85,1606.7,37564199,1787.35
19-Jan-2000,1610.05,1644.45,1608.85,1634.85,42981295,2162.92
20-Jan-2000,1634.65,1644.4,1596.65,1601.1,42625471,2016.77
21-Jan-2000,1601.25,1626.5,1593.2,1620.6,39715905,2012.48
24-Jan-2000,1623.05,1645,1608.3,1613.6,34726595,1905.45
25-Jan-2000,1612.95,1613.65,1579.55,1586.4,36881758,1884.76
27-Jan-2000,1600.5,1633.55,1600.05,1603.9,38102878,1956.9
28-Jan-2000,1603.65,1610.9,1592.7,1599.1,46563431,2147.53
31-Jan-2000,1598.35,1598.35,1538.7,1546.2,36153239,1501.04
01-Feb-2000,1546.2,1554.15,1521.4,1549.5,37161352,1692.07
02-Feb-2000,1554.2,1605.9,1554.2,1588,39358471,1760.18
03-Feb-2000,1591.25,1616.7,1591.25,1597.9,40826374,1538.89
04-Feb-2000,1598.5,1621.35,1596.45,1599.75,30459542,1694.66
07-Feb-2000,1599.8,1645.9,1599.8,1636.6,34666978,2036.07
08-Feb-2000,1636.6,1676.1,1636.6,1662.75,40722843,1975.29
09-Feb-2000,1666.95,1731.65,1666.7,1689.65,41767017,2096
10-Feb-2000,1692.1,1713.7,1692.1,1711.2,30110126,1664.86
11-Feb-2000,1712.85,1771.65,1712.85,1756,33406798,1834.58
14-Feb-2000,1777.75,1795.45,1738.75,1744.5,31621011,1728.72
15-Feb-2000,1744.5,1744.5,1694.45,1702.55,39135619,2370.94
16-Feb-2000,1704.85,1742.8,1704.15,1711.1,31314383,1811.4
17-Feb-2000,1710.05,1753.1,1710.05,1742.1,28333952,1822.56
18-Feb-2000,1742.3,1764.15,1713.45,1717.8,24491796,1473.39
21-Feb-2000,1719.55,1767.8,1719.55,1753.5,26015488,1918.38
22-Feb-2000,1754.2,1781.05,1733.55,1739.05,33425078,2416.67
23-Feb-2000,1745.2,1818.15,1689.2,1696.4,27905642,2389.28
24-Feb-2000,1696.4,1751.6,1693.1,1732,23492408,1915.24
25-Feb-2000,1734.05,1757.05,1699.25,1710.45,19458640,1235.84
28-Feb-2000,1711.15,1726.65,1670.75,1722.55,27266318,1486.21
29-Feb-2000,1722.85,1783.3,1626.35,1654.8,49498835,3207
01-Mar-2000,1661.5,1727.9,1630,1712.7,37586272,1722.99
02-Mar-2000,1713.65,1773.85,1690.05,1696.55,42276125,1458.68
03-Mar-2000,1696.45,1719.15,1644.4,1656,29500370,1748.95
06-Mar-2000,1656,1721,1656,1688.5,32426509,1503.59
07-Mar-2000,1711.85,1730.85,1684.9,1702.75,36861204,1955.02
08-Mar-2000,1717.75,1765.25,1654.45,1666.35,30249973,2436.16
09-Mar-2000,1667.45,1692.25,1595.45,1646.25,27734646,2343.6
10-Mar-2000,1647.85,1680.45,1588.2,1602.75,23714154,1846.44
13-Mar-2000,1601.4,1645,1553.45,1560.7,32025029,2339.72
14-Mar-2000,1561.55,1571.3,1503.2,1567.05,37965722,2101.66
15-Mar-2000,1546.8,1630.95,1538.7,1620.1,28895834,1975.52
16-Mar-2000,1620.4,1621.2,1554.3,1562.2,33981961,1873.92
21-Mar-2000,1563.3,1585.25,1542.65,1556.6,30768798,2021.33
22-Mar-2000,1551.05,1604,1551.05,1589.6,26938367,1582.53
23-Mar-2000,1590.3,1629.2,1544.5,1553.4,21308741,1645.35
24-Mar-2000,1554.2,1579.4,1540.45,1569.55,15407574,1352.2
27-Mar-2000,1570.45,1593.3,1555.75,1562.95,19049762,1218.6
28-Mar-2000,1563.3,1575.85,1527.55,1568.6,28174402,1838.22
29-Mar-2000,1569.3,1609.4,1553.4,1558.25,32288722,1468.66
30-Mar-2000,1556.95,1557.85,1489.1,1549.5,38871150,1562.26
31-Mar-2000,1545.55,1545.55,1493.9,1528.45,49680971,1757.77
03-Apr-2000,1528.7,1555.5,1510.75,1534.75,50909584,1638.46
04-Apr-2000,1534.05,1534.05,1420.85,1428.1,42180348,1071.07
05-Apr-2000,1428.5,1467.4,1391.65,1434.65,49400946,1880.26
06-Apr-2000,1436.15,1475.25,1381.05,1452.95,40869843,1850.96
07-Apr-2000,1453.3,1558.05,1453.3,1557.15,49468064,1272.2
10-Apr-2000,1557.55,1636.95,1557.55,1613,67959549,1932.64
11-Apr-2000,1613,1631.6,1550.85,1624.65,34966347,2042.24
12-Apr-2000,1624.4,1628.55,1586,1592.7,35323588,2074.92
13-Apr-2000,1587.95,1587.95,1502.7,1518.65,20985552,1207.87
17-Apr-2000,1518.55,1518.55,1412.45,1443.55,47786700,1109.7
18-Apr-2000,1443.55,1478.85,1410,1414.8,30055064,1311.69
19-Apr-2000,1417.75,1469.05,1375.05,1404.95,38873392,1939.59
20-Apr-2000,1405.7,1425.55,1339.75,1415.65,43869587,2294.24
24-Apr-2000,1416.05,1431.8,1371.85,1388,34272187,1720.02
25-Apr-2000,1383.8,1383.8,1311.3,1359.45,40507493,1380.95
26-Apr-2000,1362.5,1439.05,1362.5,1436.1,45032350,1395.49
27-Apr-2000,1436.15,1455.85,1400.65,1416.9,51773632,2558.15
28-Apr-2000,1419.9,1438,1396.55,1406.55,27456437,1442.25
02-May-2000,1410,1421.5,1319.65,1333.45,39377730,1889.61
